Orthogroup	Willisornis poecilinotus	Acanthisitta chloris	Amazona collaria	Camarhynchus parvulus	Corapipo altera	Corvus brachyrhynchos	Corvus cornix	Cyanistes caeruleus	Empidonax trailli	Erythrura gouldiae	Falco cherug	Falco peregrinus	Ficedula albicollis	Geospiza fortis	Junco hyemalis	Lepidothrix coronata	Lonchura striata	Manacus vitellinus	Melopsittacus undulatus	Neopelma chrysocephalum	Nestor notabilis	Parus major	Pipra filicauda	Pseudopodoces humilis	Serinus canaria	Taeniopygia guttata	Zonotrichia albicollis	Hypocnemis ochrogyna	Rhegmatorhina melanosticta
OG0000045	3	5	4	4	6	4	3	5	5	4	4	4	3	4	4	4	4	4	4	5	4	4	6	4	4	6	3	3	3
OG0000046	5	3	3	5	4	4	4	3	5	5	5	5	4	4	5	4	5	3	3	4	3	5	4	5	5	6	3	4	1
OG0000047	4	7	4	4	4	4	3	5	6	2	3	3	3	5	4	3	5	2	4	7	6	4	4	4	3	4	4	4	3
OG0000048	3	1	2	0	17	4	0	7	6	2	1	1	2	1	0	2	2	11	5	9	2	3	21	2	1	7	0	9	1
OG0000049	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	5	4	3	2
OG0000050	3	5	4	4	4	4	4	5	4	4	4	4	4	4	4	4	3	4	3	4	4	4	5	4	4	4	4	5	4
OG0000051	4	4	3	6	4	4	4	4	4	3	3	3	4	4	3	3	4	9	3	4	3	4	9	5	4	3	3	5	2
OG0000052	5	3	3	4	4	4	4	4	4	4	5	4	3	5	2	4	4	3	2	5	2	4	4	4	4	5	4	6	7
OG0000053	2	1	7	8	6	5	2	3	4	1	4	5	3	7	1	1	5	5	5	2	2	2	8	5	5	3	4	7	2
OG0000054	7	3	4	3	3	4	4	3	5	4	4	4	3	4	6	3	3	3	3	3	3	4	3	3	3	3	3	8	9
OG0000055	3	2	3	4	2	4	2	13	12	2	2	2	3	7	2	2	2	8	3	3	2	2	13	7	2	6	1	2	0
OG0000056	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	1
OG0000057	4	0	0	0	4	1	4	7	4	4	1	1	4	0	4	3	5	10	1	6	0	3	39	0	4	3	3	2	1
OG0000058	7	5	3	3	3	3	3	5	5	4	3	4	3	4	4	3	3	3	3	3	5	4	5	4	4	3	2	9	5
OG0000059	2	4	3	5	5	4	4	5	5	3	3	2	4	5	4	5	5	2	3	6	3	3	6	5	5	2	4	4	3
OG0000060	3	4	5	4	4	3	3	3	4	5	4	4	4	4	2	3	4	4	5	4	4	3	3	4	7	6	4	3	3
OG0000061	4	3	4	4	3	4	4	4	4	4	4	4	4	5	4	4	4	4	4	3	2	4	3	4	4	4	5	4	4
OG0000062	2	4	4	4	4	4	4	3	5	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	3	4	3
OG0000063	1	3	4	4	4	3	4	3	3	6	4	4	4	3	3	4	6	3	2	4	3	4	4	5	8	7	4	1	1
OG0000064	4	5	3	2	3	4	4	4	3	4	5	6	4	4	1	4	4	3	4	3	5	4	4	4	4	5	3	4	3
OG0000065	3	3	7	5	3	4	0	6	6	3	5	7	2	5	0	2	5	6	4	2	6	0	8	5	6	7	1	0	1
OG0000066	6	5	6	3	3	3	3	4	3	3	3	4	3	3	3	3	3	3	3	4	5	3	4	3	3	3	3	7	6
OG0000067	5	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	1	39	0	0	0	0	0	0	56	0	2	3	1
OG0000068	5	3	5	4	4	4	3	3	4	4	4	4	3	3	3	4	4	5	3	3	3	3	5	4	4	4	3	3	3
OG0000069	2	3	4	6	4	2	3	5	4	4	3	4	3	3	1	2	5	3	6	6	1	3	6	6	3	3	2	6	2
OG0000070	3	4	4	4	7	4	3	2	4	4	4	4	3	3	3	4	4	3	5	7	2	3	4	4	2	4	2	6	1
OG0000071	3	3	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	3	4	3	4	4	4	4	4	2	3	2
OG0000072	3	4	3	4	4	4	4	3	4	4	4	4	4	3	3	4	4	3	3	4	3	4	4	4	4	3	3	3	3
OG0000073	3	2	7	4	4	5	3	3	4	3	4	4	4	2	4	4	4	4	4	5	2	4	4	4	4	4	2	0	2
OG0000074	0	5	0	16	3	3	1	2	3	2	1	1	6	11	11	4	4	2	1	8	0	2	2	3	1	2	11	1	0
OG0000075	2	4	4	4	6	3	2	3	4	3	4	4	4	4	5	4	5	2	2	5	2	4	4	4	3	4	3	3	1
OG0000076	2	3	3	4	4	4	3	4	4	4	4	4	4	4	2	4	4	3	3	4	4	4	4	4	3	4	3	3	2
OG0000077	3	3	2	1	20	4	5	4	2	2	7	4	3	0	0	1	0	5	2	9	1	0	8	1	1	5	1	4	5
OG0000078	3	4	3	4	3	3	3	3	3	9	3	3	3	3	2	3	3	2	2	5	2	3	4	4	3	7	2	6	3
OG0000079	3	5	5	4	3	3	3	3	3	3	3	3	3	5	3	3	4	4	3	3	3	3	3	4	3	5	3	4	3
OG0000080	3	4	3	4	3	4	3	4	4	4	3	3	3	3	3	4	4	5	3	3	3	3	3	4	4	5	3	2	3
OG0000081	3	3	3	6	3	4	3	3	6	4	3	2	4	3	1	3	4	4	3	5	3	2	5	4	3	3	2	3	3
OG0000082	3	1	1	0	12	2	2	0	7	2	0	1	1	0	1	1	0	3	2	13	1	0	38	0	0	0	0	6	4
