			Million years bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[
Wilpoe121	LINE	CR1	134	0	171	354	558	668	1320	2303	4141	7961	11836	23521	40195	65520	79591	68831	80860	79445	72427	68740	69480	63818	72907	58439	41605	40330	33243	26250	12239	13755	6408	7665	2668	4036	2815	3604	4343	4418	2919	2593	989	1176	4167	1832	1239	1213	1460	835	456	624	275	123	317	33	47	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-X1a_Ucy	LINE	CR1	0	0	0	38	0	0	0	0	221	347	98	360	914	1130	2175	954	3256	2016	4588	4736	11464	12259	16675	20945	13317	15809	9990	14231	12377	6905	5222	5962	4596	2065	2592	561	1812	1454	1102	2824	3081	1691	1269	2397	2121	2277	4397	6619	5715	4007	2106	2195	1669	2495	2487	400	427	221	756	259	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2a3_LTR_Ucy	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UcyLTRK2	LTR	ERV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe019	LTR	Unknown	0	0	0	0	652	1437	667	3499	1642	20223	11428	8553	6721	6035	3612	2295	7410	2339	4304	4327	2907	2285	5109	5523	6872	5967	3912	3213	3673	1085	701	792	244	1057	141	1288	1079	965	2127	1557	1754	1352	1295	735	745	388	0	0	314	0	0	178	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe070	LTR	Unknown	68521	73931	87647	5494	0	220	6105	8225	376	932	0	150	0	237	61	571	1008	575	406	3207	7005	442	2484	2676	749	390	226	592	563	61	100	14	1685	268	0	1399	624	342	2837	2090	3085	2665	661	2118	2006	2304	2238	6057	4538	3628	1617	200	474	2049	661	778	191	191	0	191	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe120	LTR	Unknown	1482	1471	30525	96273	58956	36286	31744	11382	3111	952	899	1231	4083	3756	7910	9632	8745	9918	6202	9999	11317	10931	5474	5968	6438	3804	3277	1030	519	0	581	373	445	523	0	0	0	124	122	0	4	0	1	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2a2_LTR-La_fAlb	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	61	0	0	85	53	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe076	Unknown	Unknown	2084	23608	261914	223179	74003	35793	3617	4291	3726	9342	1715	3921	2572	16362	22551	9555	12111	26057	39384	8595	7850	3258	6834	2076	10014	13087	1598	2801	3048	3279	7244	6292	3915	6555	4363	8428	6497	7118	7963	6218	3908	3775	4215	4533	3396	457	1860	1014	357	234	445	1053	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-E1_Ucy	LINE	CR1	192	0	271	90	97	79	1280	1903	1424	4497	7290	21489	35351	52611	69312	92425	97730	96406	95258	92307	84141	75129	62505	50844	32235	22980	23550	13755	10854	8800	4677	3393	2444	1675	1290	1527	525	684	194	627	355	379	450	243	211	310	469	391	367	241	116	2	74	19	16	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Melopsittacus_undulatus	LINE	RTE-BovB	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	10	0	5	75	41	119	5	66	0	0	4	0	24	0	59	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe069	LTR	Unknown	27	0	0	39	2697	2629	8512	10592	14313	12454	7781	4126	2080	412	773	1780	943	0	2666	3686	1134	1928	0	1174	1822	0	0	620	0	0	0	0	0	0	0	0	114	0	0	13	9	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRL4b-b_Ucy	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	139	316	216	234	713	1721	1145	808	2514	2103	3433	4941	7289	20900	10949	17053	23302	22207	15292	18213	15009	9727	6131	4027	3712	1630	2212	1421	2581	2794	624	1357	899	863	156	880	180	40	0	98	22	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe127	LTR	Unknown	888	309	3336	14794	31088	22551	9350	9680	10224	9235	13876	18595	15008	12018	6421	8258	12019	21478	13421	6167	1792	4377	2041	1239	1034	1348	1835	681	2783	2998	3716	2809	7273	7120	5145	7500	3153	3872	1534	378	780	616	254	498	126	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Gymnopithys_rufigula	LINE	RTE-BovB	0	0	1254	1672	200	1795	5232	8936	6815	9145	8140	11427	12266	7230	6507	4256	2664	471	811	1986	389	142	10	39	305	72	99	0	0	0	0	21	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-X1d_Ucy	LINE	CR1	34	0	0	0	132	194	70	275	295	206	301	934	881	1652	8046	13121	19718	62409	113642	117020	151247	155081	87880	56130	39930	41260	40055	23971	25845	19625	14497	6648	7980	7636	4527	4231	6336	9745	9225	3824	12978	15028	14958	9994	12844	20794	18802	25026	27367	33367	40869	39531	50552	38479	39305	21101	20398	12125	5483	5580	782	486	864	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe000	LTR	Unknown	317	258	433	1808	8515	20794	51089	65944	72197	56151	35743	30301	16198	14118	6543	5652	2962	325	537	64	0	45	108	0	0	46	156	572	29	13	308	194	264	367	1383	1253	1138	1843	2211	2258	1733	2548	903	1697	1580	97	0	0	241	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe077	LTR	Unknown	1204	2427	3526	2584	1405	2692	16803	18521	14707	11508	5101	121	249	2522	0	2292	200	1341	267	43	198	1043	3801	4940	4089	1140	1604	4800	3374	4116	1897	2305	5292	12590	15378	8509	14525	16323	21907	23176	22522	24235	10756	13851	10850	10065	9303	8461	2535	4660	1846	972	419	200	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe016	LINE	Unknown	3499	20862	51399	52851	70299	38036	28555	19838	11470	6952	3539	5127	5583	3642	2953	3055	3197	3418	1582	861	2289	1138	1333	1256	1890	772	77	465	159	0	13	0	738	53	33	37	327	149	0	516	0	165	124	49	124	244	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fAlbLTR3a	LTR	ERV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe061	LTR	Unknown	233	0	0	391	576	605	732	3696	10765	31150	82286	179393	266641	262055	247156	170067	103894	66263	67412	48582	55443	61522	50997	30865	24743	16609	7592	4286	4051	99	724	58	31	0	0	0	0	0	0	61	52	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe135	LINE	CR1	21131	115923	428390	573902	424194	271787	175666	107090	54940	35626	26712	18356	11424	11996	12366	8876	11574	9335	14036	12113	12516	14033	6030	5947	6209	4532	3310	2468	1158	1198	629	1481	186	806	416	320	429	220	381	621	352	381	640	394	216	676	303	190	333	329	387	240	242	114	0	37	0	106	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-E5b_Ucy	LINE	CR1	58	0	0	238	222	471	332	432	1128	1690	2759	3857	8040	14058	16430	26010	43720	55373	91608	125616	152955	167202	197124	220325	219960	189178	180386	169302	165540	143369	130564	120460	108574	83591	72517	52583	43202	34303	27652	19022	10515	9173	7929	7716	7343	7564	11078	15686	14190	16639	14948	14247	16456	8132	9271	5179	3294	3289	1158	836	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe048	LTR	Unknown	0	219	3596	2923	6539	9092	27969	22748	53364	61439	35181	23530	5309	4959	110	1598	700	1085	2874	1786	3985	7239	5288	6018	2511	2451	700	3219	2149	2056	2818	3490	4518	2058	1156	1766	2249	443	225	601	502	1911	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe011	LTR	ERVL	33507	58299	31107	4766	68795	28306	16292	13674	5413	19001	5559	2543	2602	2865	1436	2465	56	2942	4988	4829	1481	1432	9016	1673	1125	94	506	3658	554	1994	1658	4436	7223	3696	2198	9349	1497	806	3676	282	2010	451	2792	4869	4425	2552	3358	4243	826	2187	366	852	737	4421	2958	2857	2147	1581	220	1175	334	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVK10a5_LTR_Ucy	LTR	ERV2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe138	LTR	Unknown	805	1235	7001	3657	7344	2899	3407	3376	3265	3310	597	0	258	575	319	1110	0	0	0	0	0	0	0	0	0	0	0	0	0	1298	1485	1025	2248	1262	822	986	1118	984	2524	1017	439	345	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTRL2a8-Ld_fAlb	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-M1_Ucy	LINE	CR1	0	0	0	40	0	0	97	43	238	0	74	478	215	478	1123	1224	1200	1795	2282	2003	3021	2983	4204	4931	5118	6273	7983	8058	7288	9387	10093	10694	8578	8848	8707	9555	9712	8221	10684	12976	15230	15544	19266	15535	20525	18367	20154	22445	19642	22449	28149	18974	22244	15021	12917	8447	5036	4465	933	1271	199	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe137	LTR	ERVL	440	0	173	89	5454	6060	7735	7960	2275	6022	3005	3487	361	1015	2483	1880	619	1481	3894	1780	5760	5483	5074	4996	7172	2784	4968	7062	6531	6543	6879	4451	3268	2758	1613	1821	1146	450	1485	717	934	926	13	213	501	109	0	10	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ManaSINE1_Zimmerius_chrysops	SINE	RTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	18	0	0	14	51	9	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe130	LTR	Unknown	259	0	0	90	253	27	823	3264	4044	9220	17179	13689	17318	15450	8534	11202	7385	4894	4891	1716	1181	1418	2068	947	995	2450	517	1050	621	558	2759	1486	1985	6456	4010	2955	5564	2269	2279	1156	964	0	548	37	23	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2b1_LTR-La_fAlb	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe040	LTR	Unknown	6859	23563	64798	163060	113878	67321	10859	5679	6351	9350	8108	10541	8875	10386	8112	6776	3449	3411	2053	4107	2547	2132	2514	803	1576	5281	4737	6833	6134	5033	6899	7374	7541	9285	13332	15136	18732	22427	23933	18378	21088	17039	10642	9766	9460	4988	1444	112	985	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe131	LINE	CR1	536	164	725	2388	2029	3971	5432	10932	21264	32791	41554	43006	52747	56240	54885	50048	41715	41758	31492	28072	25855	20798	17155	10770	9121	4312	3947	2608	1848	1465	1121	1107	660	891	1108	439	433	349	263	148	252	399	435	411	183	263	245	206	203	115	0	76	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe065	LTR	Unknown	0	0	0	600	592	1914	3034	5287	5582	6388	5819	6531	5353	5285	4490	1282	812	271	631	0	0	0	188	136	0	0	0	317	176	103	564	58	852	413	614	666	1525	1278	628	1028	770	262	590	0	830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GymnSINE_Gymnopithys_rufigula	SINE	RTE	0	0	0	0	0	0	0	0	93	287	101	133	0	241	209	294	697	418	1250	879	759	2786	743	780	543	126	31	381	11	149	80	0	34	71	29	67	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERV1_LTR1b_Ucy	LTR	ERV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-E2_Ucy	LINE	CR1	152	0	73	432	336	165	1189	1125	2417	4776	16012	36508	49400	76368	96043	102545	92195	81223	73027	74561	57488	47492	38863	36548	25687	20166	12334	10581	7987	7678	4090	2860	2496	1473	1427	1513	1315	254	342	405	251	598	160	250	319	89	77	36	226	346	147	320	33	20	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe073	LTR	ERV1	0	0	0	0	0	0	44	0	0	107	842	1229	953	5464	3370	4971	5007	9953	8717	8749	10296	6678	7531	4108	8398	5599	3969	4967	3958	3930	3273	4194	4700	2478	4913	2962	3317	2482	2323	2600	2475	2567	2946	1051	287	0	931	0	0	229	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe124	LTR	Unknown	206	0	119	133	383	306	990	4709	7682	10068	13496	13054	12041	13881	10243	10202	5847	1631	4461	2336	2304	428	1583	842	2407	7899	861	4743	4952	6722	7733	9034	8803	9437	9656	8659	7744	8026	7746	6005	5110	2032	2848	3550	1111	781	1780	589	305	0	5	210	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe008	LTR	Unknown	128	1098	4150	32712	32516	61349	48415	29629	26625	6412	6315	5508	5734	4586	3926	8871	13488	9836	17027	6241	3698	2821	4414	9724	6579	3776	2324	2729	8904	7621	13253	11024	12916	9468	5297	4058	4819	2844	3134	0	812	0	27	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-E5a_Ucy	LINE	CR1	31	0	0	127	228	175	92	229	760	192	1262	1111	1930	3116	3612	6626	6002	11401	15483	23860	34703	48730	77135	78376	97878	116736	92148	84664	81132	70640	70875	64780	54231	66737	79159	75844	49888	60752	45873	50222	49756	39183	32919	37089	24084	25041	26646	20700	30790	34673	38836	35436	34933	32657	34963	15522	25922	15061	8448	6227	3353	2455	1106	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe059	LTR	ERVK	42	0	4392	4820	49761	15404	4649	2645	3887	2870	7177	5072	3852	5768	156	53	162	611	150	453	111	94	288	143	26	52	2543	76	178	63	48	343	235	563	0	1251	376	527	229	496	2585	3302	1586	1103	2344	1669	2768	5509	3060	1254	3449	2152	1576	891	750	0	202	0	0	0	171	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe122	LINE	CR1	12	0	53	462	556	683	2820	4847	9340	15582	20457	28051	34352	36778	34377	35966	35370	35179	30118	26395	20886	14110	13028	12447	8287	8174	6234	5005	3585	4013	1366	1295	1335	1618	535	1207	746	744	1001	366	503	821	64	158	196	300	381	284	284	81	43	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Apaloderma_vittatum	LINE	RTE-BovB	0	0	0	0	0	0	0	325	273	346	0	0	189	122	1924	5834	1858	5546	2195	8218	3184	1060	625	718	481	18	0	0	0	0	59	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe004	LTR	Unknown	47	0	826	1124	1391	9322	26969	52598	65729	58972	57636	47507	41599	23510	24077	17776	28683	23154	22767	20635	21133	14287	10098	18168	15192	13093	9069	11649	6652	8950	8280	4584	6723	1915	1971	2273	2064	152	393	70	621	782	266	28	0	1	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR5c_fAlb	LTR	ERV3	0	0	0	0	33	0	0	114	156	113	171	427	410	780	157	322	109	769	1299	493	4022	4350	8953	12659	19923	28346	27707	31904	30798	25635	22435	17116	17324	12043	9057	11632	7969	8153	7739	8042	5067	5028	3436	4185	581	1696	1070	780	83	972	270	520	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguLTR13c_fAlb	LTR	ERV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	375	222	0	0	207	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2a2_LTR-Lc_fAlb	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	16	0	0	0	13	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe078	LTR	Unknown	0	0	0	0	0	0	50	82	756	2326	7970	6770	14974	9509	5365	6301	7585	9114	5596	4926	9850	4668	4304	1963	2082	1366	1747	1089	484	1332	570	130	260	865	104	628	0	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe023	LINE	CR1	34	362	122	1145	4549	11797	12710	19107	12821	11967	8366	8951	5810	7959	5148	4459	3646	5195	4176	2364	1768	1215	2269	844	1180	454	157	528	111	94	428	455	99	81	119	218	107	161	169	195	293	612	396	353	162	171	325	267	103	81	163	179	56	0	0	14	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe095	SINE	RTE	219	0	880	6275	26191	95432	145580	156713	196715	188995	153131	144883	93586	64811	38389	21763	14384	7654	5560	2262	1435	1887	502	612	854	448	596	391	234	0	42	220	153	69	140	0	0	73	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-J2a_Ucy	LINE	CR1	0	0	0	0	103	59	190	264	335	292	348	717	816	1613	1382	2933	4684	6165	11111	12485	18812	31621	48424	79123	107524	152764	185378	178781	176829	168003	141173	124352	82056	59977	54725	45651	33035	33942	18058	16510	11588	11273	8087	9132	11766	9127	15685	14266	14997	11389	13884	13699	9996	7434	7219	5863	979	1024	783	277	217	0	416	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
