			Million years bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[
Wilpoe051	LTR	Unknown	0	0	0	0	0	0	455	917	450	1385	2145	2234	3663	2567	1541	1656	2753	3091	2371	2919	2159	2891	4417	6840	11050	7154	13317	7578	9556	7686	5628	6372	6123	4733	3012	3779	6992	4141	5184	2629	1504	1019	1525	560	1022	969	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe153	Unknown	Unknown	964	295	17393	26889	15037	26381	13441	42494	9881	18014	7173	3562	2483	3502	4887	12685	6554	12341	2757	8674	966	4211	4491	4896	2224	2001	2067	647	86	0	103	776	90	54	66	332	79	0	97	0	250	151	306	97	128	713	0	0	0	26	0	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe156	LTR	Unknown	285	0	1442	1944	6009	4683	4332	4749	2229	1486	1546	771	293	141	63	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UcyLTRL4	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	95	55	136	71	240	428	180	318	1138	1381	2964	5008	5977	5141	9991	8018	9661	14947	9734	13446	11498	14404	7686	4219	4171	1883	2203	974	513	826	292	202	255	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe050	LINE	CR1	7693	396749	850946	481880	494605	459816	481401	572855	539477	414187	392877	445407	570830	460548	255138	176634	155702	156607	154277	153172	166013	136966	112602	108461	85876	74498	56648	67867	44653	52538	41128	19713	25880	22394	15875	27532	26050	37009	47096	63169	83730	78826	72625	66647	74301	91944	68317	66685	70659	95535	99426	111036	87495	65451	49291	29826	15111	12362	7858	4670	1061	641	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Buceros_rhinoceros	LINE	RTE-BovB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	48	5	0	83	0	369	6	0	0	0	13	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fAlbLTR4	LTR	ERV1	0	0	0	0	0	84	0	82	34	0	0	92	50	111	52	284	495	648	1231	3569	3575	3971	7888	9845	14354	11421	14635	15712	18679	19706	14382	14691	12992	11914	13750	10490	7246	9598	7068	5584	3006	3308	2029	2968	1177	760	665	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe094	LTR	Unknown	3211	17252	10627	8151	2608	3746	1214	1821	349	0	0	286	0	0	0	554	332	277	430	480	652	737	666	1404	1375	757	1947	2072	2282	1988	2201	1492	1722	1789	1238	1631	2179	2693	2332	2825	2758	3012	3633	4087	2669	2190	1959	451	1232	212	647	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe017	LTR	Unknown	0	317	1763	3569	18579	58098	56626	73590	42209	44151	9877	14537	11612	3312	1572	508	2438	2684	1148	3059	1294	1612	1373	756	832	128	369	4106	1448	1856	1446	1029	2745	2922	1662	784	146	0	0	0	52	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe009	LTR	Unknown	41	700	5472	26271	19865	16796	4576	5796	1561	797	0	902	0	261	134	0	0	0	0	0	44	5	0	99	0	191	15	150	545	1324	513	69	97	10	71	28	421	27	334	847	135	480	178	1470	493	13	108	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe143	LTR	Unknown	29	83	0	47	150	1700	6358	9843	18811	14031	16264	12455	1581	2808	2374	3602	4847	2396	1262	157	0	0	36	0	0	0	0	0	674	1211	4327	3636	4265	4269	1248	2649	2414	750	474	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe010	LTR	Unknown	91	90	205	381	108	258	1145	2995	14337	23031	24649	27670	19638	11722	11560	12184	12094	15793	16865	17191	13692	13848	11979	8612	7745	11949	18533	22732	24865	32921	33242	24011	24731	17763	11734	4769	6513	5016	2285	1842	142	246	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe033	LTR	ERVL	26	0	0	0	63	26	120	40	209	1197	1361	2105	5743	12106	16360	33000	53082	61400	65673	61062	66821	47779	42716	35809	16063	10060	10160	8985	7425	3574	2502	2244	2902	2412	1387	4412	2521	4944	3035	2483	1863	1447	1744	740	402	475	502	358	169	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe047	Unknown	Unknown	0	0	52	0	0	0	502	6884	5349	5361	8761	13446	6160	13100	6186	10819	4956	3779	2922	6643	6112	5861	6670	10065	9485	9162	6631	4791	3344	2564	969	434	579	428	485	459	146	148	22	100	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe132	LTR	Unknown	0	0	0	41	0	0	0	0	435	1692	1843	2726	3106	3398	1429	1516	3420	2051	1720	1508	860	390	0	98	0	38	0	20	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
